Property.Address.Longitude,Property.Address.Latitude,Price,SizeInternal,Price/SizeInternal_frozen,Building.BathroomTotal,Building.Bedrooms,Building.StoriesTotal,Building.Type,Property.Price,Property.Type,Property.Address.AddressText,Property.Parking[0].Name,Property.ParkingSpaceTotal,Property.TypeId,Property.ZoningType,Property.AmmenitiesNearBy,Property.ParkingType,PostalCode,Building.SizeExterior,Property.Parking[1].Name,Property.OwnershipType,Property.Parking[2].Name,Building.UnitTotal
-73.49564443,45.45262821,494000,1469,336,2,3,15,Apartment,"$494,000",Single Family,"8120 Boul. St-Laurent|#203|Brossard, Quebec J4X2P2",Garage,2,300,Residential,"Highway, CEGEP, Golf Course, Hospital, Park, Schools, Ski hill, Public Transit, University","Garage, Integrated Garage, Other",J4X2P2,,Integrated Garage,Condominium/Strata,Other,
-73.698478,45.501231,565000,1689.9323,334,3,3,8,Apartment,"$565,000",Single Family,"2750 Boul. de la Côte-Vertu|#606|Montréal (Saint-Laurent), Quebec H4R2P3",Garage,2,300,Residential,"Highway, CEGEP, Hospital, Park, Schools, Public Transit",Garage,H4R2P3,,,Condominium/Strata,,
-73.53670394,45.4651156,459000,1386,331,2,3,14,Apartment,"$459,000",Single Family,"30 Rue Berlioz|#415|Montréal (Verdun/Île-des-Soeurs), Quebec H3E1L3",Integrated Garage,1,300,Residential,"Highway, Golf Course, Park, Schools, Public Transit","Integrated Garage, Garage",H3E1L3,,Garage,Condominium/Strata,,
-73.55519,45.533891,499750,1510,330,2,5,3,Apartment,"$499,750",Single Family,"2172-2174 Rue Frontenac|Montréal (Ville-Marie), Quebec H2K2Z3",,,300,Residential,"Highway, CEGEP, Schools, Public Transit",,H2K2Z3,,,Condominium/Strata,,
-73.491579,45.412516,485000,1479,327,2,3,3,Apartment,"$485,000",Single Family,"540 Rue Brossard|La Prairie, Quebec J5R2T9",Detached Garage,2,300,Residential,"CEGEP, Park, Schools, Public Transit","Detached Garage, Garage",J5R2T9,,Garage,Condominium/Strata,,
-73.74515402,45.43991594,520000,1588,327,2,4,1,House,"$520,000",Single Family,"135 Av. Lepage|Dorval, Quebec H9S3E5",Other,4,300,Residential,Highway,Other,H9S3E5,914 sqft,,,,
-73.51548628,45.53239722,649000,1985,326,2,4,2,Apartment,"$649,000",Single Family,"174 Boul. Quinn|Longueuil (Le Vieux-Longueuil), Quebec J4H2M8",Garage,2,300,Residential,"Highway, CEGEP, Schools, Public Transit, University","Garage, Other",J4H2M8,,Other,Condominium/Strata,,
-73.51284573,45.53345003,649000,1985,326,2,4,1,House,"$649,000",Single Family,"174Z Boul. Quinn|Longueuil (Le Vieux-Longueuil), Quebec J4H2M8",Garage,2,300,,"Highway, CEGEP, Hospital, Schools, Public Transit, University","Garage, Other",J4H2M8,,Other,,,
-73.53342608,45.38735418,361175,1107,326,2,3,7,Apartment,"$361,175 +  GST +  QST",Single Family,"64 Ch. St-François-Xavier|#118|Candiac, Quebec J5R5V4",Garage,1,300,Residential,"Highway, Golf Course, Hospital, Park, Schools, Public Transit",Garage,J5R5V4,,,Condominium/Strata,,
-73.631083,45.471014,659000,2023.6132,325,2,3,2,Apartment,"$659,000",Single Family,"6152 Rue de Terrebonne|Montréal (Côte-des-Neiges/Notre-Dame-de-Grâce), Quebec H4B1A3",Other,1,300,Residential,"Highway, CEGEP, Hospital, Park, Schools, Public Transit, University",Other,H4B1A3,,,Undivided Co-ownership,,
-73.59886,45.452146,649000,2000,324,2,5,2,House,"$649,000",Single Family,"6582Z-6584Z Rue Hurteau|Montréal (Le Sud-Ouest), Quebec H4E2Y6",,,300,Residential,"Highway, CEGEP, Hospital, Park, Schools, Public Transit, University",,H4E2Y6,,,,,
-73.754902,45.527111,640000,1991.3215,321,3,5,2,House,"$640,000",Single Family,"176 Crois. de l'Arcade|Laval (Chomedey), Quebec H7W4Y3",Garage,7,300,Residential,"Highway, Park, Schools","Garage, Integrated Garage, Other",H7W4Y3,,Integrated Garage,,Other,
-73.663899,45.441866,520000,1620,320,2,3,2,House,"$520,000",Single Family,"19Z Rue Provost|Montréal (Lachine), Quebec H8S1L3",Garage,2,300,Residential,"Highway, CEGEP, Hospital, Park, Schools, Public Transit","Garage, Integrated Garage",H8S1L3,,Integrated Garage,,,
-73.502983,45.520852,491411,1532,320,2,4,2,House,"$491,411 +  GST +  QST",Single Family,"1019Z Rue St-Georges (Longueuil)|Longueuil (Le Vieux-Longueuil), Quebec J4K3Z4",Other,1,300,Residential,"Highway, CEGEP, Park, Schools, Public Transit, University",Other,J4K3Z4,,,,,
-73.48946537,45.43205293,379000,1183,320,2,3,3,Apartment,"$379,000",Single Family,"9512 Rue Riverin|Brossard, Quebec J4X3A8",Integrated Garage,2,300,Residential,"Highway, Schools, Public Transit","Integrated Garage, Garage",J4X3A8,,Garage,Condominium/Strata,,
-73.601014,45.432997,699000,2191,319,2,3,2,House,"$699,000",Single Family,"7603 Rue Broadway|Montréal (LaSalle), Quebec H8P1H2",Other,2,300,Residential,"Highway, Park, Schools, Public Transit",Other,H8P1H2,1118 sqft,,,,
-73.50845413,45.4037811,343800,1097.9178,313,2,4,2,House,"$343,800 +  GST +  QST",Single Family,"295 Rue Léon-Bloy O.|La Prairie, Quebec J5R3G5",Other,2,300,Residential,,Other,J5R3G5,51.05 m2,,,,
-73.607195,45.432945,459000,1477,310,2,3,3,Apartment,"$459,000",Single Family,"1018 Rue Thierry|Montréal (LaSalle), Quebec H8N2Y6",Garage,1,300,Residential,"CEGEP, Hospital, Park",Garage,H8N2Y6,,,Condominium/Strata,,
-73.64086817,45.43512543,682000,2195.8356,310,2,3,2,Duplex,"$682,000",Single Family,"517-519 Rue d'Oka|Montréal (LaSalle), Quebec H8R3E2",Garage,1,300,Residential,,"Garage, Integrated Garage",H8R3E2,,Integrated Garage,,,2
-73.5095,45.404041,339000,1097.9178,308,2,3,2,House,"$339,000 +  GST +  QST",Single Family,"242 Rue Léon-Bloy O.|La Prairie, Quebec J5R3G5",Other,1,300,Residential,,Other,J5R3G5,51.05 m2,,,,
